oracle Database name       :  FSPRD
Oracle SID                 :  FSPRD3
Archive Execution-From Date:  01-May-2023
Archive Execution-To Date  :  01-Mar-2024
Archive Year               :  1995_2000
Archive Environment        :  FS
 
=> Batch Numbers check.

107 rows created.


Commit complete.

=> NLS DataBase Parameters Check.

3 rows created.


Commit complete.

=> TimeZone Check.

291 29 0 CA_PD_XX CA_DETAIL_PRO_H
292 30 0 CM_AS_XX TR_ATTACH_H_XX
293 31 0 CM_BS_XX BANK_BAL_H_XX
294 32 0 CM_EP_XX BNK_EXCP_H_XX
295 33 0 CM_FD_XX CSH_CST_DTL_HXX
296 34 0 CM_FS_XX CSH_CST_SUM_HXX
297 35 0 CM_FW_XX CASH_FLW_TR_HXX
298 36 0 CM_NP_XX BANK_NON_PD_HXX
299 37 0 CM_SD_XX BANK_SDSTMT_HXX
300 38 0 CM_SH_XX BNK_SMT_HDR_HXX
301 39 0 CM_SL_XX BNK_SDBAL_H_XX
302 40 0 CM_ST_XX BANK_STMT_H_XX
303 41 0 CM_WH_XX TR_WR_DTL_H_XX
304 41 1 CM_WH_XX TR_WR_HDR_H_XX
305 42 0 CM_XF_XX TR_AF_STL_H_XX
306 43 0 EXADV_XX EX_ADV_CHK_H
307 43 1 EXADV_XX EX_ADV_DIST_H
308 43 2 EXADV_XX EX_ADV_DOCSEQ_H
309 43 3 EXADV_XX EX_ADV_HDR_H
310 43 4 EXADV_XX EX_ADV_LINE_H
311 43 5 EXADV_XX EX_ADV_PYMT_H
312 44 0 EXSHT_XX EX_SHEET_ADV_H
313 44 1 EXSHT_XX EX_SHEET_ATT_H
314 44 2 EXSHT_XX EX_SHEET_DIST_H
315 44 3 EXSHT_XX EX_SHEET_HDR_H
316 44 4 EXSHT_XX EX_SHEET_LINE_H
317 44 5 EXSHT_XX EX_SHEET_PYMT_H
318 44 6 EXSHT_XX EX_SHT_DOCSEQ_H
319 44 7 EXSHT_XX EX_SHT_LN_PD_H
320 44 8 EXSHT_XX EX_SHT_NOTE_HXX
321 44 9 EXSHT_XX EX_SHT_SPLIT_H
322 45 0 EX_ACCTG EX_ACCTG_LINE_H
323 46 0 EX_APPR EX_APRVL_HIST_H
324 47 0 EX_AT_XX EX_ER_ATCH_H_XX
325 48 0 EX_ER_AD EX_SHEET_AW_H
326 49 0 EX_FL_XX EID_FILE_EX_HXX
327 50 0 EX_MYWAL EX_ENHC_DET_H
328 50 1 EX_MYWAL EX_ENHC_DTAMX_H
329 50 2 EX_MYWAL EX_ENHC_SMAMX_H
330 50 3 EX_MYWAL EX_ENHC_SUMM_H
331 50 4 EX_MYWAL EX_TRANS_H
332 51 0 EX_NS_XX EOAW_NEMSTS_HXX
333 52 0 EX_SY_XX EOAW_COMNTS_HXX
334 52 1 EX_SY_XX EOAW_HISCOM_HXX
335 52 2 EX_SY_XX EOAW_SPINST_HXX
336 52 3 EX_SY_XX EOAW_SUMDTL_HXX
337 52 4 EX_SY_XX EOAW_SUMM_HXX
