oracle Database name       :  HRPRD
246 84 24 PSPER_XX DISABILITY_H_XX
247 84 25 PSPER_XX DIVERSETHN_H_XX
248 84 26 PSPER_XX DIVERSITY_H_XX
249 84 27 PSPER_XX DIVERSRELI_H_XX
250 84 28 PSPER_XX DRIVERSLIC_H_XX
251 84 29 PSPER_XX EMAILADRS_H_XX
252 84 30 PSPER_XX EMERGENCYC_H_XX
253 84 31 PSPER_XX EMPAPPRDTL_H_XX
254 84 32 PSPER_XX EMPLCHECKL_H_XX
255 84 33 PSPER_XX EMPLCHKLST_H_XX
256 84 34 PSPER_XX EMPLOYEES_H_XX
257 84 35 PSPER_XX EMPLYE_REVIEW_H
258 84 36 PSPER_XX EMPL_PHOTO_H_XX
259 84 37 PSPER_XX EMP_APR_HR_H_XX
260 84 38 PSPER_XX EMP_WAGEL_CAN_H
261 84 39 PSPER_XX EMRGNCYPHN_H_XX
262 84 40 PSPER_XX EXCP_AUDIT_H_XX
263 84 41 PSPER_XX FED_TAX_DATA_H
264 84 42 PSPER_XX FMLA_HOURS_H_XX
265 84 43 PSPER_XX FMLA_H_XX
266 84 44 PSPER_XX GARNSPECXX_H_XX
267 84 45 PSPER_XX GARN_BALANCE_H
268 84 46 PSPER_XX GARN_EMPL_DED_H
269 84 47 PSPER_XX GARN_RULE_H
270 84 48 PSPER_XX GARN_SCHED_H
271 84 49 PSPER_XX GARN_SPEC_H
272 84 50 PSPER_XX GENL_DED_CD_H
273 84 51 PSPER_XX HPBDCKLOG_H_XX
274 84 52 PSPER_XX HREXTEMP_H_XX
275 84 53 PSPER_XX JOB_ERNDST_H_XX
276 84 54 PSPER_XX JOB_HR_XX_H_XX
277 84 55 PSPER_XX JOB_H_XX
278 84 56 PSPER_XX JOB_IND_H_XX
279 84 57 PSPER_XX JOB_JR_H_XX
280 84 58 PSPER_XX JOB_MIL_H_XX
281 84 59 PSPER_XX JOB_XX_H_XX
282 84 60 PSPER_XX LOCL_TAX_DATA_H
283 84 61 PSPER_XX NAMES_H_XX
284 84 62 PSPER_XX PAYROLL_DATA_H
285 84 63 PSPER_XX PERCHECKLI_H_XX
286 84 64 PSPER_XX PERCHKLSTI_H_XX
287 84 65 PSPER_XX PERORGASGN_H_XX
288 84 66 PSPER_XX PERORGINST_H_XX
289 84 67 PSPER_XX PERPOIT_XX_H_XX
290 84 68 PSPER_XX PERPOI_XX_H_XX
291 84 69 PSPER_XX PERSAPPLIN_H_XX
292 84 70 PSPER_XX PERSAPPLRE_H_XX
293 84 71 PSPER_XX PERSDATACA_H_XX
294 84 72 PSPER_XX PERSDATAEF_H_XX
295 84 73 PSPER_XX PERSDATAUS_H_XX
296 84 74 PSPER_XX PERSDATAXX_H_XX
297 84 75 PSPER_XX PERSNIDEXP_H_XX
298 84 76 PSPER_XX PERSONALDA_H_XX
299 84 77 PSPER_XX PERSONALPH_H_XX
300 84 78 PSPER_XX PERSONINFO_H_XX
301 84 79 PSPER_XX PERSON_H_XX
